(node:22658) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
Dashboard live at http://127.0.0.1:3007
SQLite CRM active at /Users/hamidamjad/Documents/Playground/elite-automations/output/elite-ops.sqlite
Watching output/ for pipeline updates...
[2026-04-20T15:41:58.255Z] POST /api/mail/send 200 684ms
[2026-04-20T15:42:43.026Z] GET /api/mail/oauth/url 200 1ms
[2026-04-20T15:42:45.432Z] GET /api/mail/inbox?maxResults=50 200 2416ms
[2026-04-20T15:50:01.881Z] GET /api/state 200 5ms
[2026-04-20T15:50:01.901Z] GET /api/client-360 200 19ms
[2026-04-20T15:50:02.248Z] GET /api/metrics 200 345ms
[2026-04-20T15:52:52.684Z] GET /api/state 200 3ms
[2026-04-20T15:52:52.700Z] GET /api/client-360 200 15ms
[2026-04-20T15:52:52.733Z] GET /api/openclaw/approvals 200 30ms
[2026-04-20T15:52:52.733Z] GET /api/openclaw/agents 200 30ms
[2026-04-20T15:52:52.979Z] GET /api/metrics 200 279ms
[2026-04-20T17:20:23.120Z] GET /api/state 200 30ms
[2026-04-20T17:20:23.137Z] GET /api/client-360 200 15ms
[2026-04-20T17:20:23.218Z] GET /api/openclaw/approvals 200 33ms
[2026-04-20T17:20:23.218Z] GET /api/openclaw/agents 200 34ms
[2026-04-20T17:20:23.491Z] GET /api/metrics 200 352ms
[2026-04-20T17:20:31.913Z] GET /api/state 200 2ms
[2026-04-20T17:20:31.925Z] GET /api/client-360 200 12ms
[2026-04-20T17:20:31.928Z] GET /api/metrics 200 3ms
[2026-04-20T17:20:31.939Z] GET /api/openclaw/approvals 200 7ms
[2026-04-20T17:20:31.939Z] GET /api/openclaw/agents 200 7ms
[2026-04-20T17:20:52.659Z] GET /api/state 200 4ms
[2026-04-20T17:20:52.675Z] GET /api/client-360 200 15ms
[2026-04-20T17:20:52.681Z] GET /api/metrics 200 6ms
[2026-04-20T17:20:52.693Z] GET /api/openclaw/approvals 200 11ms
[2026-04-20T17:20:52.697Z] GET /api/openclaw/agents 200 16ms
[2026-04-20T17:26:17.717Z] GET /api/state 200 6ms
[2026-04-20T17:26:17.726Z] GET /api/accounts 200 1ms
[2026-04-20T17:26:18.001Z] GET /api/metrics 200 284ms
[2026-04-20T17:26:54.455Z] GET /api/state 200 3ms
[2026-04-20T17:26:54.458Z] GET /api/metrics 200 3ms
[2026-04-20T17:26:54.459Z] GET /api/accounts 200 1ms
[2026-04-20T17:26:54.468Z] GET /api/client-360 200 9ms
[2026-04-20T17:26:54.477Z] GET /api/openclaw/approvals 200 7ms
[2026-04-20T17:26:54.478Z] GET /api/openclaw/agents 200 9ms
[2026-04-20T17:27:20.053Z] GET /api/state 200 14ms
[2026-04-20T17:27:20.067Z] GET /api/accounts 200 2ms
[2026-04-20T17:27:20.078Z] GET /api/client-360 200 11ms
[2026-04-20T17:27:20.092Z] GET /api/openclaw/approvals 200 14ms
[2026-04-20T17:27:20.092Z] GET /api/openclaw/agents 200 14ms
[2026-04-20T17:27:20.272Z] GET /api/metrics 200 217ms
[2026-04-20T17:27:31.431Z] GET /api/state 200 4ms
[2026-04-20T17:27:31.435Z] GET /api/metrics 200 3ms
[2026-04-20T17:27:31.437Z] GET /api/accounts 200 1ms
[2026-04-20T17:27:31.466Z] GET /api/client-360 200 25ms
